,ast,blk,fg3_pct,fg_pct,ft_pct,g,losses,orb,pf,pts,school_name,stl,tov,trb,win_loss_pct,wins
299,555,123,.353,.468,.688,35,13,453,606,2693,Tennessee-Martin,228,528,1312,.629,22
300,339,102,.339,.443,.692,30,13,366,633,2134,Tennessee State,201,452,1117,.567,17
301,435,115,.325,.422,.708,32,20,356,675,2317,Tennessee Tech,213,434,1144,.375,12
302,441,146,.326,.422,.729,32,16,388,670,2383,Tennessee,175,399,1206,.500,16
303,486,142,.332,.470,.722,36,12,368,703,2715,Texas A&M-Corpus Christi,337,485,1227,.667,24
304,489,173,.329,.458,.649,31,15,401,511,2176,Texas A&M,186,439,1193,.516,16
305,566,81,.337,.461,.681,36,9,430,691,2818,Texas-Arlington,266,472,1384,.750,27
306,661,175,.354,.466,.686,39,15,453,676,2914,Texas Christian,256,504,1404,.615,24
307,463,99,.348,.469,.662,32,17,235,618,2217,Texas-El Paso,172,427,1101,.469,15
308,484,82,.336,.424,.717,32,22,382,780,2505,Texas-Rio Grande Valley,246,507,1180,.313,10
309,357,62,.283,.393,.666,33,19,425,642,2178,Texas-San Antonio,183,418,1293,.424,14
310,409,111,.296,.430,.735,35,12,401,607,2593,Texas Southern NCAA,250,407,1228,.657,23
311,526,160,.330,.447,.661,36,14,345,642,2407,Texas State,237,423,1211,.611,22
312,427,98,.367,.470,.733,32,14,299,562,2346,Texas Tech,169,354,1050,.563,18
313,376,149,.292,.439,.650,33,22,323,588,2215,Texas,190,443,1133,.333,11
314,551,92,.362,.480,.695,34,17,339,574,2675,Toledo,135,447,1274,.500,17
315,348,118,.311,.447,.682,33,13,445,686,2447,Towson,226,426,1305,.606,20
316,484,129,.359,.456,.725,37,15,409,654,2889,Troy NCAA,221,462,1362,.595,22
317,398,119,.324,.405,.717,31,25,349,646,2179,Tulane,192,420,1062,.194,6
318,362,80,.343,.419,.729,32,17,311,579,2158,Tulsa,145,473,1112,.469,15
319,771,191,.406,.522,.738,36,5,343,583,3233,UCLA NCAA,212,404,1386,.861,31
320,492,92,.379,.465,.699,32,17,256,605,2337,Utah State,159,391,1144,.469,15
321,530,123,.320,.437,.708,34,17,306,667,2615,Utah Valley,216,522,1350,.500,17
322,476,113,.353,.504,.682,32,12,321,539,2511,Utah,195,431,1217,.625,20
323,422,96,.324,.444,.775,33,9,351,621,2465,Valparaiso,211,425,1251,.727,24
324,450,133,.376,.430,.777,35,16,286,581,2489,Vanderbilt NCAA,147,430,1208,.543,19
325,476,151,.369,.494,.700,35,6,326,555,2571,Vermont NCAA,199,392,1192,.829,29
326,505,109,.369,.495,.790,36,4,316,515,2779,Villanova NCAA,259,402,1208,.889,32
327,525,138,.331,.461,.705,35,9,386,728,2616,Virginia Commonwealth NCAA,263,435,1275,.743,26
328,356,114,.316,.412,.690,30,24,306,594,2057,VMI,188,395,992,.200,6
329,497,91,.403,.489,.737,33,11,240,543,2610,Virginia Tech NCAA,131,398,1068,.667,22
330,473,138,.385,.460,.709,34,11,297,556,2246,Virginia NCAA,190,324,1119,.676,23
331,326,108,.332,.428,.691,30,14,434,616,2047,Wagner,146,422,1184,.533,16
332,512,121,.385,.472,.779,33,14,349,668,2733,Wake Forest NCAA,183,389,1199,.576,19
333,453,85,.364,.461,.756,31,18,199,502,2179,Washington State,130,389,993,.419,13
334,408,171,.354,.448,.654,31,22,401,628,2368,Washington,187,425,1161,.290,9
335,443,117,.417,.487,.741,34,14,221,596,2714,Weber State,176,380,1103,.588,20
336,607,176,.362,.454,.685,37,9,534,756,3014,West Virginia NCAA,371,455,1387,.757,28
337,363,75,.307,.390,.653,32,23,397,661,1965,Western Carolina,198,516,1158,.281,9
338,375,124,.388,.435,.707,28,20,184,546,2012,Western Illinois,130,358,968,.286,8
339,397,105,.353,.440,.671,32,17,302,475,2209,Western Kentucky,143,388,1119,.469,15
340,414,91,.371,.451,.704,32,16,370,600,2417,Western Michigan,183,399,1155,.500,16
341,586,140,.403,.469,.733,36,5,433,676,2916,Wichita State NCAA,235,406,1472,.861,31
342,543,152,.382,.491,.692,31,14,271,566,2534,William & Mary,167,388,1123,.548,17
343,423,169,.373,.455,.717,33,7,316,605,2615,Winthrop NCAA,216,430,1224,.788,26
344,504,130,.359,.455,.644,37,10,460,602,2678,Wisconsin NCAA,250,411,1377,.730,27
345,552,71,.403,.467,.779,33,17,323,614,2593,Wofford,185,405,1105,.485,16
346,472,75,.381,.449,.764,32,12,326,594,2465,Wright State,181,474,1136,.625,20
347,561,172,.350,.435,.730,38,15,322,783,2961,Wyoming,195,502,1446,.605,23
348,559,100,.344,.457,.689,38,14,451,708,2836,Xavier NCAA,228,478,1417,.632,24
349,452,123,.357,.468,.732,29,11,301,454,2151,Yale,162,377,1056,.621,18
350,513,107,.333,.440,.672,34,21,355,566,2616,Youngstown State,187,406,1246,.382,13
